id,name,proposed name,2.0,1.45,xml,POG,PAG,comment
187,L1_ETM85cer,L1_ETM85,0,0,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
188,L1_ETM90cer,L1_ETM90,0,1,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
189,L1_ETM95cer,L1_ETM95,0,1,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
190,L1_ETM100cer,L1_ETM100,0,1,x,VSUM,BASE,"slim: * calibrated, etaMax=27 (|eta| .lt. 2.65)"
191,L1_ETM105cer,L1_ETM105,1,1,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
192,L1_ETM110cer,L1_ETM110,1,1,x,VSUM,BASE,slim:
193,L1_ETM115cer,L1_ETM115,1,1,x,VSUM,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
194,L1_ETM120cer,L1_ETM120,1,1,x,VSUM,BASE,slim:
195,L1_ETM150cer,L1_ETM150,1,1,x,VSUM,BASE,Susy:
200,L1_ETMHF70c,L1_ETMHF70,0,0,x,VSUM,BASE,Susy:
201,L1_ETMHF80c,L1_ETMHF80,0,0,x,VSUM,BASE,Susy:
202,L1_ETMHF90c,L1_ETMHF90,0,0,x,VSUM,BASE,Susy:
203,L1_ETMHF100c,L1_ETMHF100,0,1,x,VSUM,BASE,Susy:
204,L1_ETMHF110c,L1_ETMHF110,1,1,x,VSUM,BASE,Susy:
205,L1_ETMHF120c,L1_ETMHF120,1,1,x,VSUM,BASE,Susy:
206,L1_ETMHF150c,L1_ETMHF150,1,1,x,VSUM,BASE,Susy:
240,L1_SingleMuOpen_NotBptxOR,,0,0,x,PHY,EXO,EXO:  needs ~0.3 kHz (prescaled by at least 20)
241,L1_SingleMuOpen_NotBptxOR_3BX,,0,0,x,PHY,EXO,EXO: PS=1
242,L1_SingleJet20er3p0_NotBptxOR,L1_SingleJetC20_NotBptxOR,0,0,x,PHY,EXO,EXO: needs ~0.3 kHz (prescaled by at least 400)
243,L1_SingleJet20er3p0_NotBptxOR_3BX,L1_SingleJetC20_NotBptxOR_3BX,0,0,x,PHY,EXO,"EXO: to be masked and emulated at the HLT, as we did last year"
244,L1_SingleJet43er3p0_NotBptxOR_3BX,L1_SingleJetC43_NotBptxOR_3BX,0,0,x,PHY,EXO,EXO: PS=1
245,L1_SingleJet46er3p0_NotBptxOR_3BX,L1_SingleJetC46_NotBptxOR_3BX,0,0,x,PHY,EXO,EXO: backup
250,L1_IsoEG24er2p1_Jet26er3p0_dR_Min0p3,L1_IsoEG24er_JetC26_dR_Min0p3,0,1,x,PHY,TOP,Top:
251,L1_IsoEG26er2p1_Jet34er3p0_dR_Min0p3,L1_IsoEG26er_JetC34_dR_Min0p3,0,1,x,PHY,TOP,https://its.cern.ch/jira/browse/CMSLITDPG-84
252,L1_IsoEG28er2p1_Jet34er3p0_dR_Min0p3,L1_IsoEG28er_JetC34_dR_Min0p3,0,1,x,PHY,TOP,https://its.cern.ch/jira/browse/CMSLITDPG-84
253,L1_IsoEG30er2p1_Jet34er3p0_dR_Min0p3,L1_IsoEG30er_JetC34_dR_Min0p3,1,1,x,PHY,TOP,ttH to bb/ttbar/single-top
254,L1_IsoEG24er2p1_HTT100er,L1_IsoEG24er_HTT100,0,1,x,PHY,TOP,Top:
255,L1_IsoEG26er2p1_HTT100er,L1_IsoEG26er_HTT100,0,1,x,PHY,TOP,Top: additional
256,L1_IsoEG28er2p1_HTT100er,L1_IsoEG28er2p1_HTT100,1,1,x,PHY,TOP,ttH to bb/ttbar/single-top
257,L1_IsoEG24er2p1_TripleJet_26er3p0_26_26er3p0,L1_IsoEG24er_TripleJet_C26_26_C26,0,1,x,PHY,TOP,Top:
258,L1_Mu18_HTT100er,L1_Mu18_HTT100,1,1,x,PHY,TOP,Top: additional
259,L1_Mu18_Jet24er3p0,L1_Mu18_JetC24,0,1,x,PHY,TOP,Top: additional
260,L1_Mu20_EG17,,1,1,x,PHY,TOP,Top - emu:
261,L1_Mu23_EG10,,1,1,x,PHY,TOP,Top - emu:
262,L1_Mu23_IsoEG10,,1,1,x,PHY,TOP,Top - emu:
263,L1_Mu5_EG23,,0,1,x,PHY,TOP,Top - emu:
264,L1_Mu5_IsoEG20,,0,1,x,PHY,TOP,Top - emu:
265,L1_Mu7_EG23,,1,1,x,PHY,TOP,Top - emu:
266,L1_Mu7_IsoEG20,,1,1,x,PHY,TOP,Top - emu:
267,L1_Mu7_IsoEG23,,1,1,x,PHY,TOP,Top - emu:
268,L1_HTT250er_QuadJet_70_55_40_35_er2p5,L1_HTT250_QuadJet_70_55_40_35_etarestr,0,1,x,PHY,TOP,Top - hadronic:
269,L1_HTT280er_QuadJet_70_55_40_35_er2p5,L1_HTT280_QuadJet_70_55_40_35_etarestr,0,1,x,PHY,TOP,Top - hadronic:
270,L1_HTT300er_QuadJet_70_55_40_35_er2p5,L1_HTT300_QuadJet_70_55_40_35_etarestr,1,1,x,PHY,TOP,Top - hadronic:
275,L1_DoubleJet100er2p3_dEta_Max1p6,L1_DoubleJet100Eta2p3_dEtaMax1p6,1,1,x,PHY,HIG,Higgs H to bb:
276,L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,L1_Mu10Eta2p3_Jet32Eta2p3_dRMax0p4_DoubleJet32Eta2p3_dEtaMax1p6,0,1,x,PHY,HIG,Higgs H to bb:
277,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,,1,1,x,PHY,HIG,Higgs H to bb: additional
